epoch,cons_acc,cons_loss,learning_rate,loss,val_cons_acc,val_cons_loss,val_loss,val_vow_acc,val_vow_loss,vow_acc,vow_loss
0,0.7773624658584595,1.194700837135315,0.0010000000474974513,2.0418245792388916,0.9429159760475159,0.6008472442626953,1.120312213897705,0.919545590877533,0.5194132328033447,0.7986156344413757,0.8470985293388367
1,0.9491854906082153,0.6091244220733643,0.0010000000474974513,1.124072790145874,0.9533635377883911,0.5565080046653748,1.0398848056793213,0.930709719657898,0.48337528109550476,0.929350733757019,0.5149428248405457
2,0.9599810838699341,0.5617438554763794,0.0010000000474974513,1.043499231338501,0.9634463787078857,0.5183422565460205,0.9661781787872314,0.9434370398521423,0.4478120505809784,0.9399118423461914,0.48175278306007385
3,0.9649742245674133,0.5377252697944641,0.0010000000474974513,1.0005306005477905,0.9634463787078857,0.5213795304298401,0.9702500104904175,0.9428638219833374,0.44881585240364075,0.9456498026847839,0.4628073275089264
4,0.9686915278434753,0.5215756893157959,0.0010000000474974513,0.9720918536186218,0.968474805355072,0.49846744537353516,0.9313157796859741,0.9492079615592957,0.43281102180480957,0.9492084980010986,0.4505203664302826
5,0.9707788825035095,0.5113403797149658,0.0010000000474974513,0.9530495405197144,0.9671069979667664,0.5011823773384094,0.9314758777618408,0.9492340087890625,0.43030208349227905,0.9516429901123047,0.4417180120944977
6,0.9727559685707092,0.5029911994934082,0.0010000000474974513,0.9373770952224731,0.9694908857345581,0.4947294592857361,0.9183198809623718,0.9513834714889526,0.42355576157569885,0.9541258215904236,0.43438345193862915
7,0.9742501974105835,0.4961372911930084,0.0010000000474974513,0.9249829649925232,0.9720311760902405,0.48493561148643494,0.908977746963501,0.9524516463279724,0.4239861071109772,0.9557465314865112,0.42884567379951477
8,0.9754065871238708,0.491112619638443,0.0010000000474974513,0.914699912071228,0.972825825214386,0.4800044298171997,0.8967873454093933,0.9552133679389954,0.416787713766098,0.9576660990715027,0.42358464002609253
9,0.9771261215209961,0.48554739356040955,0.0010000000474974513,0.9049972295761108,0.9716794490814209,0.48553231358528137,0.9045848846435547,0.9538976550102234,0.41902539134025574,0.95904541015625,0.4194503426551819
10,0.9775192141532898,0.4818043112754822,0.0010000000474974513,0.8977866768836975,0.9712886214256287,0.48514923453330994,0.9012292623519897,0.9542754292488098,0.4160497188568115,0.9599695801734924,0.4159840941429138
11,0.9788732528686523,0.4779917597770691,0.0010000000474974513,0.8904932737350464,0.9730603098869324,0.48451951146125793,0.9030043482780457,0.9543536305427551,0.4184436500072479,0.9613029360771179,0.41250815987586975
12,0.9795100688934326,0.4756295084953308,0.0010000000474974513,0.8844215273857117,0.9733468890190125,0.4776213467121124,0.8912004232406616,0.9560861587524414,0.41354185342788696,0.962571918964386,0.4087951183319092
13,0.9802227020263672,0.4722979664802551,0.0010000000474974513,0.8782435059547424,0.9727476239204407,0.48145589232444763,0.8972339034080505,0.9539497494697571,0.4157286584377289,0.9638569951057434,0.40594005584716797
14,0.9811376929283142,0.46904274821281433,0.0010000000474974513,0.8718977570533752,0.9731384515762329,0.4820389449596405,0.899387538433075,0.9560731649398804,0.41731733083724976,0.9647489190101624,0.402853399515152
15,0.9816365242004395,0.46702396869659424,0.0010000000474974513,0.8666434288024902,0.9727997779846191,0.48167964816093445,0.8999246954917908,0.9548095464706421,0.4181923270225525,0.9662984013557434,0.39961981773376465
16,0.9819514751434326,0.4655974805355072,0.0010000000474974513,0.8632029294967651,0.9738419055938721,0.4779581129550934,0.8902211785316467,0.9569590091705322,0.4122214913368225,0.967031717300415,0.39760467410087585
17,0.9827813506126404,0.46281009912490845,0.0010000000474974513,0.8576611876487732,0.9747146964073181,0.47812169790267944,0.8983057141304016,0.9554609060287476,0.42016592621803284,0.9679811596870422,0.39484891295433044
18,0.9835675954818726,0.46123209595680237,0.0010000000474974513,0.8532106280326843,0.9739591479301453,0.47916901111602783,0.8926722407341003,0.9574540257453918,0.4134596586227417,0.9689742922782898,0.3919813930988312
19,0.9838664531707764,0.459873229265213,0.0010000000474974513,0.850098729133606,0.9736855626106262,0.4763426184654236,0.8908161520957947,0.9570631980895996,0.41443097591400146,0.9699076414108276,0.3902246057987213
